1.0,41.9,29.1,251.3,249.9872927395114
1.0,43.4,29.3,251.3,254.2618483084203
1.0,43.9,29.5,248.3,257.29768060783647
1.0,44.5,29.7,267.5,260.45738523420187
1.0,47.3,29.9,273.0,266.34228105345136
1.0,47.5,30.3,276.5,271.42296703668944
1.0,47.9,30.5,270.3,274.33492700915633
1.0,50.2,30.7,274.9,279.60046119365944
1.0,52.8,30.8,285.0,284.0293770266755
1.0,53.2,30.9,290.0,285.7331016668075
1.0,56.7,31.5,297.0,297.31804510404146
1.0,57.0,31.7,302.5,300.10613274955904
1.0,63.5,31.9,304.5,310.5743046659318
1.0,65.3,32.0,309.3,314.0122418833536
1.0,71.1,32.1,321.7,322.40507217874654
1.0,77.0,32.5,330.7,334.5464807980934
1.0,77.8,32.9,349.0,340.3704007430271
